role	foreground	background	contrast
foreground	#D6E7E8	#081B24	13.80:1
muted	#718995	#081B24	4.79:1
red	#D06A55	#081B24	4.93:1
yellow	#E0B36A	#081B24	9.08:1
green	#24967E	#081B24	4.81:1
cyan	#24C4D3	#081B24	8.31:1
blue	#1A91A8	#081B24	4.75:1
magenta	#B88C90	#081B24	6.03:1
bright_red	#E18A72	#081B24	6.78:1
bright_yellow	#F0D1A0	#081B24	12.02:1
bright_green	#4FC5A5	#081B24	8.27:1
bright_cyan	#72E2EA	#081B24	11.56:1
bright_blue	#55CDE0	#081B24	9.39:1
bright_magenta	#D2A5A8	#081B24	8.12:1
selection_foreground	#F0F7F7	#0F5268	7.97:1
